title,rating,travelDate,publishedDate,text,url,user/avatar,user/avatar/height,user/avatar/id,user/avatar/image,user/avatar/width,user/contributions/helpfulVotes,user/contributions/totalContributions,user/link,user/name,user/userId,user/userLocation,user/userLocation/id,user/userLocation/name,user/userLocation/shortName,user/username,ownerResponse,ownerResponse/connectionToSubject,ownerResponse/id,ownerResponse/lang,ownerResponse/publishedDate,ownerResponse/responder,ownerResponse/text,placeInfo/address,placeInfo/addressObj/city,placeInfo/addressObj/country,placeInfo/addressObj/postalcode,placeInfo/addressObj/state,placeInfo/addressObj/street1,placeInfo/addressObj/street2,placeInfo/id,placeInfo/latitude,placeInfo/locationString,placeInfo/longitude,placeInfo/name,placeInfo/numberOfReviews,placeInfo/rating,placeInfo/ratingHistogram/count1,placeInfo/ratingHistogram/count2,placeInfo/ratingHistogram/count3,placeInfo/ratingHistogram/count4,placeInfo/ratingHistogram/count5,placeInfo/webUrl,placeInfo/website
Basic budget with great location!,4,2024-12,28-06-2025,Stayed with my family and 2 young kids. If you looking for a budget basic no frills with great location. This is the place. Breakfast is basic. Service is very good. Clean basic room setup.,https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r1015522261-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,450,36857903,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/32/68/2f/avatar.jpg,337,5,20,www.tripadvisor.com/Profile/ReshmaD,ReshmaD,0EF9F946BC07FFDAA61BF00326726155,,312583,"Pretoria, South Africa",Pretoria,ReshmaD,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
"Essenziale, buona posizione",3,2025-02,30-03-2025,"Camera 'superior' è essenziale, al secondo piano. C'è tutto il necessario ma i mobili e l'ambiente hanno un aria stanca e usurata. La stanza è pulita, il letto comodo. Non c'è un bollitore, solo un thermos per acqua calda. La reception è al quinto piano, piuttosto scomodo per lasciare le chiavi quando si esce. La cortesia alla reception è minima, invece molto disponibili e di aiuto per taxi e indicazioni il personale di security all'ingresso .
Colazione a buffet, ma poca scelta e solo cucina indiana.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r1000409614-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,738,460827416,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/77/ab/18/atripper17.jpg,738,64,317,www.tripadvisor.com/Profile/aTripper17,aTripper17,85E644D171D3A6601FFFF3B61AA77144,,187781,"Salerno, Italy",Salerno,aTripper17,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
Very Good,4,2024-11,24-11-2024,"Comfortable rooms, clean and excellent services but the Breakfast needs some improvement. Entire staff EXCELLENT. especially room service.  Superb location for tourists close to train station, top of line restaurants and Marine Drive.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r981715515-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,205,19820682,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/8a/avatar011.jpg,205,16,6,www.tripadvisor.com/Profile/meher2016,meher2016,B0367ACFAB9AF8C1725F1033AC1B4B12,,154996,"Mississauga, Canada",Mississauga,meher2016,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
Odd experience,3,2024-02,19-02-2024,"We had booked a family room showing 3 separate beds. The room we were given had a double bed, plus a sofa with bedding provided. Comfortable enough, but not what was advertised.
Check-in was a rigmarole. Receptionist took almost an hour to complete our registration, which involved the usual sign in, handing over of our foreign passport, but then he went away (with our passports, always a nerve-racking time)  and proceeded to laboriously photo copy the main page, then meticulously cut out the photos and paste into another book.  Of course he stopped for dinner during this exercise. Very odd.
The breakfast room (breakfast not included) was equally odd. A large room, it had two small tables and then chairs spread around each wall. When our group of three moved a chair to be together, an attendant came over and put it back against the wall. Very odd.
Location is excellent on V.N. Road close to Marine Drive. An interesting place...",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r938975779-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,2448,467949227,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e4/56/ab/mrwonderful07.jpg,2448,27,71,www.tripadvisor.com/Profile/mrwonderful07,mrwonderful07,96B213E8534F4F6045B24B4236A0C806,,255093,"Adelaide, Australia",Adelaide,mrwonderful07,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
Great Location!,4,2023-12,17-01-2024,"The best bit about this hotel is the location; it's just minutes from the station, has some great eateries even closer & is a short walk from some excellent bars with great views. The hotel itself is charming & clean, as was our room. The only downside was that our room was opposite the housekeeping area on the 1st floor, so we were woken early by their phone ringing, which was annoying. That said, I'll willingly stay here again.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r934335377-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,640,119997183,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/27/02/ff/kingslandcorner.jpg,640,18,40,www.tripadvisor.com/Profile/KingslandCorner,Chris G,C107C7FCC5B19CE893DCEBEE825792D6,,186338,"London, United Kingdom",London,KingslandCorner,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
Good place in SoBo,4,2023-11,27-11-2023,"Wonderful staff.
Excellent location.
Good, clean and spacious rooms, ensuite.

(However, breakfast was neither free nor worth it. 
Tried the poha and veg mini cutlets. Both were cold. Bananas were under ripe. Unpalatable!
Check if you will be charged before you step into the breakfast room).

",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r927589453-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,1200,452389307,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg,1200,0,1,www.tripadvisor.com/Profile/Roam13981248538,Roam13981248538,2D3939BA2D89CB6DA9B3201FF24CF765,,,,,Roam13981248538,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
"Overpriced, Only location, no hospitality",1,2023-10,29-10-2023,"Had to book this hotel for business related group booking. Called hotel a day prior in advance as we had some questions but they never reverted on call. On the day of booking, when we were finally able to get in touch with them and asked them some questions about the the occupancy etc in general, they hung up calls on us with no replies. The way they spoke on calls and behaved was quite  opposite of the hospitality. Just good location, avoid if traveling for work, management has ZERO patience and unhelpful.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r923432998-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,1200,452391125,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg,1200,1,5,www.tripadvisor.com/Profile/Unwinding247,Bhish,CFD5C6BC4D9D4E3715F7935FCFCEFAE3,,,,,Unwinding247,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
A budget hotel with excellent location,3,2023-03,19-03-2023,"This hotel is a mixture of some plus and minus points. The biggest plus point is it’s location just next to Marine Drive which gives an easy access to all nearby important business and tourist spots. Rooms have multiple occupancy options suitable for groups and large families. 
  However, there are certain downsides also like not providing electric kettles in the rooms, limited food options that too for snacks only and narrow corridors. The structure has become old and needs upgrades. For security reasons hotel should provide card based entry to rooms instead of old lock and key system.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r882835664-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,50,157371324,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/61/4b/bc/rahul-s.jpg,50,50,43,www.tripadvisor.com/Profile/rahuls5179,rahul s,CD92553F474FF4D0A670BC6D720CAF3F,,304551,"New Delhi, India",New Delhi,rahuls5179,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
comfortable and wonderful location,4,2022-11,15-12-2022,"the best part of the hotel is the location, walking distance from churchgate station and to marine drive. lots of food joints around for food.
well maintanined hotel, wonderful hospitality. All requests were met to with a smile.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r871779278-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,3648,437440823,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/12/d1/37/geeta-m.jpg,3648,6,30,www.tripadvisor.com/Profile/black04,GEETA m,B2FF9A750FCEF5ACAD2886E6780B62B4,,297613,"Vadodara, India",Vadodara,black04,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
Really good one,5,2022-06,21-06-2022,"First choice when in Mumbai, an antique property, very well maintained. Total value for money. The staffs are really cordial and and the service is aweosme. Main highlight is the location of the property. Very near to the marine drive, morning walks and evening sea views is best to be experienced from here. Will be back here soon. Highly recommended.",https://www.tripadvisor.com/ShowUserReviews-g304554-d325614-r843821629-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,,816,107004716,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/60/c3/2c/reejal.jpg,612,41,276,www.tripadvisor.com/Profile/reejal,reejal,0DD24F6BC7AE838991A9D75F303FFB6C,,297635,"Kozhikode, India",Kozhikode,reejal,,,,,,,,"86 Veer Nariman Road, Mumbai 400020 India",Mumbai,India,400020,Maharashtra,86 Veer Nariman Road,,325614,18.933601,"Mumbai, Maharashtra",72.82524,Chateau Windsor Hotel,534,3.9,16,26,95,251,146,https://www.tripadvisor.com/Hotel_Review-g304554-d325614-Reviews-Chateau_Windsor_Hotel-Mumbai_Maharashtra.html,http://www.chateauwindsor.com/bookings/hr_index.php
