"title","rating","travelDate","publishedDate","text","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website"
"Extremely poor condition. Please read complete review","1","2024-12","2025-01-05","The location of this hotel is excellent, but the maintenance and hygiene standards are extremely poor. I’ve been staying here for the past 10 years, but in the last 2 years, the quality has declined drastically. 
Don't rely on reviews older than two years, as the condition was much better back then. However, the management now seems to have completely left the hotel in the hands of the staff, and as you can imagine, how they will take care without any supervision. 
We stayed in the soo called most premium AC rooms of the hotel. they reuse dustbin bags from previous stays, which still have stains of tobacco and ketchup. The towels were dirtyyy, and the bed sheets appeared to have not been changed since the last 2-3 guests. The sofa and chairs were also in poor condition. There was noticeable seepage on the walls throughout the room, and a foul odor lingered in the air.

We had booked the room for two days, but the conditions were so bad that we considered switching hotels the following day (although we couldn't, every hotel was full because of new year). Despite the hotel being nearly empty, both the room service and cleanliness were abysmal, and the overall service was disappointing.","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r987878572-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1200","452390812","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg","1200","0","1","www.tripadvisor.com/Profile/OnAir02916520466","OnAir02916520466","034AE6D75B1446477D65F1850B626F53",,,,,"OnAir02916520466",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Dirtiest, poorest hotel","1","2024-11","2024-11-26","Very very dirty and poor hotel. I don't want to give one star only because of food. Curtains was dirty , almiras , bed linen , pillow covers, rooms are smelly, no dressing table only one mirror without lighting. No amenities which are shown on mmt","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r982051483-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1200","452391289","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg","1200","0","1","www.tripadvisor.com/Profile/Resort06185893156","Resort06185893156","21A1E482325752F6991FAA4B6E3BD148",,,,,"Resort06185893156",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Excellent hotel in mall road","5","2024-01","2024-01-08","Hotel is located at mall road near roap way.
I stayed in this hotel in Jan 2024 with my family , Very good experience about Hotel location , scenic view from balcony , rooms , staff services & food .

However I want to share an incident that happened to me in that hotel.
My daughter's health suddenly worsened at night around 4 am , I connected to the reception , One staff Manish was there , He immediately called his other staff Pooran , 
Even though so cold in the morning at around 5 am  , Pooran took me to the doctor on two wheeler for my daughter . 
Really I salute to Pooran from my heart who helped me so much that night  , may god give him much progress in life.

However All other staffs were also very polite, well-behaved & knows how to handle their customer

Overall I would recommend this hotel if you are looking for great place to stay in Mussoorie.
","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r932915823-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1200","452387402","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","1200","0","1","www.tripadvisor.com/Profile/ajeetkumarm2024","AJEET KUMAR M","D0B7EA75ACFB7728B41D8DC225A4E6C0",,,,,"ajeetkumarm2024",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"location  is an advantage","3","2023-08","2023-08-26","Though we had very unpleasant welcome in this hotel and bad housekeeping experience but the location of  this Htl is unbeatable.

I didn’t like the base category room . Their Ac rooms are good to stay 

It’s an average category Htl so don’t keep high expectations like a good 3 star plus treatment.

Food is ok , service is all fine however housekeeping seem to be an issue . we were given a damaged towel. 

Hotel owner  is a nice young chap who clearly understand the importance of his direct client over a referral client.","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r913036199-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1234","393284301","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/71/0a/cd/sushilchoudhary.jpg","1234","2","16","www.tripadvisor.com/Profile/sushilchoudhary","Sushil Choudhary","7F882A75D4709F0ED1063FD731FF2EE1",,"297604","Goa, India","Goa","sushilchoudhary",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"WORST HOTEL","1","2023-08","2023-08-16","""NEVER GO FOR THIS PROPERTY ""
Hotel rooms just look good in pictures , the bedsheets have leftover hairs on them and no cleaning done even after 2-3 requests. 
Washrooms are too smelly and even their furniture is old and broken
The worst experience ever had in any hotel visited. 
Hotel staff is so arrogant and rude ,
ZERO hospitality, Even the owner himself is so rude that he doesn't listen to any of your problems. 
Don't get fooled by believing that this hotel is on mall road 
Walkablity of the hotel from the library chowk is around 1.5km (rickshaw cost-250) . 
Guests have to climb around 40-50 stairs to reach the hotel so it is very difficult for the old age citizens to get there.
Hotel staff also Didn't came to pick up our luggage.
A wise person would never go for this hotel. ","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r910804678-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1200","452360110","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","1200","0","1","www.tripadvisor.com/Profile/Freedom49114698969","Freedom49114698969","D2FF5A548C2E91ED688B40720D2A368D",,,,,"Freedom49114698969",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Good hotel, excellent location.... but POOR service","3","2023-08","2023-08-13","Hotel is good. Location is excellent. But service is below par. As I write, I'm still at #103 . I would point few things out.

1) The room is just beside the entrance stair. Hence, you cannot remove the curtains because of your privacy

2) Right after check-in I informed the Front Desk that the intercom in my room was not working. Not for once in last 2 days, anyone bothered to come & check. 

3) You provide tea/ coffee amenities in room which is excellent. But again no suger / suger fee sachets were provided. I had to tell Front Desk yesterday. After that only I got some. 

Being a hotelier myself, these 3 basic errors are not acceptable to me. I've got a feeling that I faced these issues since my reservation was from an online portal ( lesser tariff than the Hotel Tariff quoted to me by mail)

I'll perhaps book another hotel next time I visit Mussoorie","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r910142379-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"592","265817067","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d8/0b/eb/dipanjan-d.jpg","592","43","216","www.tripadvisor.com/Profile/Don2009Kolkata","Dipanjan D","66B7B1F6C42BB97BBBE3DB2CF9A6E489",,"304558","Kolkata (Calcutta), India","Kolkata (Calcutta)","Don2009Kolkata",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Rat in room","1","2023-08","2023-08-09","The room had a rat which tampered with our stuff n disturbed our journey 
So could not sleep whole night n had to change the room to another room in the middle of the night 
It Was a bad experience and would not really recomend it as it questions the hygiene","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r909192252-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1200","452387558","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg","1200","0","33","www.tripadvisor.com/Profile/parasagg28","parasagg28","743447B6A18C542F309BAB8E76EA794B",,"303884","Amritsar, India","Amritsar","parasagg28",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Owner behaviour-Worst and horrible","1","2023-02","2023-02-11","Hotel was very good but the owner behaviour make it worst.
The Owner behaviour is so bad that i will never ever recommend this hotel to anyone as owner asked us for double payment as he is not receiving Sms from its bank and i was showing all validates for the confirmation of payment including bank statement also, but neither he is showing its bank statement nor the bank app and even he bully us that he wont let our car go and make a police complaint. And just after his words , we ourself make a call to police.
Experience he gave was horrible, although staff was very good.
Zero Star and don’t recommend this hotel to anyone because of its owner only","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r878341314-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"1200","452387885","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","1200","1","1","www.tripadvisor.com/Profile/I4614SFrahulm","rahul m","931F161895BDB15B30D20A44D839FB8D",,,,,"I4614SFrahulm",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Previous Service Missing this time","4","2022-07","2022-09-01","I visited mussoorie in the month of July, 2022. This is my 2 visit to Hotel Mall Palace. Everything was same as earlier except House Keeping. I call them 2 times, but they did not clean the room. 
Well Food was good as earlier.","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r857743685-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"205","19820660","https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/74/avatar056.jpg","205","18","58","www.tripadvisor.com/Profile/himanshu_jazlko","himanshulko","3F6876C97C45CD47FCE68D7462A465F1",,,,,"himanshu_jazlko",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
"Just ok facility at high cost","1","2022-06","2022-06-15","The Hotel insisted for payment of good bill by cash only. Moreover, they refused to provide GST bill for the payment. This way they are evading tax. 

Room and facility are nothing great. No luxury. Better look at other hotels","https://www.tripadvisor.com/ShowUserReviews-g297689-d1156304-r842919752-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html",,"50","127338469","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/97/07/e5/amit-g.jpg","50","2","5","www.tripadvisor.com/Profile/amitgoyal2015","Amit G","F4FDCBED038C4DE6049A5AF9FB2BD73A",,"304551","New Delhi, India","New Delhi","amitgoyal2015",,,,,,,,"The Mall Rd Opp Ropeways, Mussoorie 248179 India","Mussoorie","India","248179","Uttarakhand","The Mall Rd","Opp Ropeways","1156304","30.457487","Mussoorie, Dehradun District, Uttarakhand","78.07549","Hotel Mall Palace","204","3.7","20","10","32","86","56","https://www.tripadvisor.com/Hotel_Review-g297689-d1156304-Reviews-Hotel_Mall_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://www.facebook.com/hotelmallpalace.in/"
